Endpoint,Method,Lambda Function,Integration Type
/,DELETE,PodcastFlowPro-PodcastFlowPro-clients,Lambda
/,GET,PodcastFlowPro-PodcastFlowPro-clients,Lambda
/,POST,PodcastFlowPro-PodcastFlowPro-clients,Lambda
/,PUT,PodcastFlowPro-PodcastFlowPro-clients,Lambda
/ad-approvals,GET,ad-approvals,Lambda
/ad-approvals,POST,ad-approvals,Lambda
/ad-approvals/{id},DELETE,ad-approvals,Lambda
/ad-approvals/{id},GET,ad-approvals,Lambda
/ad-approvals/{id},PUT,ad-approvals,Lambda
/ad-copy,GET,PodcastFlowPro-Ad-Copy,Lambda
/ad-copy,POST,PodcastFlowPro-Ad-Copy,Lambda
/ad-copy/{id},DELETE,PodcastFlowPro-Ad-Copy,Lambda
/ad-copy/{id},GET,PodcastFlowPro-Ad-Copy,Lambda
/ad-copy/{id},PUT,PodcastFlowPro-Ad-Copy,Lambda
/advertisers,GET,PodcastFlowPro-Advertisers,Lambda
/advertisers,POST,PodcastFlowPro-Advertisers,Lambda
/advertisers/{id},DELETE,PodcastFlowPro-Advertisers,Lambda
/advertisers/{id},GET,PodcastFlowPro-Advertisers,Lambda
/advertisers/{id},PUT,PodcastFlowPro-Advertisers,Lambda
/agencies,GET,PodcastFlowPro-Agencies,Lambda
/agencies,POST,PodcastFlowPro-Agencies,Lambda
/agencies/{id},DELETE,PodcastFlowPro-Agencies,Lambda
/agencies/{id},GET,PodcastFlowPro-Agencies,Lambda
/agencies/{id},PUT,PodcastFlowPro-Agencies,Lambda
/api-webhooks,GET,PodcastFlowPro-APIWebhooks,Lambda
/availability,GET,PodcastFlowPro-Availability,Lambda
/availability,POST,PodcastFlowPro-Availability,Lambda
/availability/{id},DELETE,PodcastFlowPro-Availability,Lambda
/availability/{id},GET,PodcastFlowPro-Availability,Lambda
/availability/{id},PUT,PodcastFlowPro-Availability,Lambda
/backups,GET,PodcastFlowPro-Backup,Lambda
/campaigns,DELETE,podcastflow-api-campaigns,Lambda
/campaigns,GET,podcastflow-api-campaigns,Lambda
/campaigns,POST,podcastflow-api-campaigns,Lambda
/campaigns,PUT,podcastflow-api-campaigns,Lambda
/campaigns/{id},DELETE,podcastflow-api-campaigns,Lambda
/campaigns/{id},GET,podcastflow-api-campaigns,Lambda
/campaigns/{id},PUT,podcastflow-api-campaigns,Lambda
/contracts,GET,PodcastFlowPro-Contracts,Lambda
/contracts,POST,PodcastFlowPro-Contracts,Lambda
/contracts/{id},DELETE,PodcastFlowPro-Contracts,Lambda
/contracts/{id},GET,PodcastFlowPro-Contracts,Lambda
/contracts/{id},PUT,PodcastFlowPro-Contracts,Lambda
/episodes,GET,PodcastFlowPro-Episodes,Lambda
/episodes,POST,PodcastFlowPro-Episodes,Lambda
/episodes/stats,GET,PodcastFlowPro-Episodes,Lambda
/episodes/{id},DELETE,PodcastFlowPro-Episodes,Lambda
/episodes/{id},GET,PodcastFlowPro-Episodes,Lambda
/episodes/{id},PUT,PodcastFlowPro-Episodes,Lambda
/financials,GET,PodcastFlowPro-Financials,Lambda
/financials,POST,PodcastFlowPro-Financials,Lambda
/financials/{id},DELETE,PodcastFlowPro-Financials,Lambda
/financials/{id},GET,PodcastFlowPro-Financials,Lambda
/financials/{id},PUT,PodcastFlowPro-Financials,Lambda
/insertion-orders,GET,PodcastFlowPro-Insertion-Orders,Lambda
/insertion-orders,POST,PodcastFlowPro-Insertion-Orders,Lambda
/insertion-orders/{id},DELETE,PodcastFlowPro-Insertion-Orders,Lambda
/insertion-orders/{id},GET,PodcastFlowPro-Insertion-Orders,Lambda
/insertion-orders/{id},PUT,PodcastFlowPro-Insertion-Orders,Lambda
/master/analytics,GET,PodcastFlowPro-master-analytics,Lambda
/master/billing,DELETE,PodcastFlowPro-master-billing,Lambda
/master/billing,GET,PodcastFlowPro-master-billing,Lambda
/master/billing,POST,PodcastFlowPro-master-billing,Lambda
/master/billing,PUT,PodcastFlowPro-master-billing,Lambda
/master/billing/{organizationId},GET,PodcastFlowPro-master-billing,Lambda
/master/invoices,GET,master-billing,Lambda
/master/invoices,POST,master-billing,Lambda
/master/invoices/{invoiceId},DELETE,PodcastFlowPro-master-billing,Lambda
/master/invoices/{invoiceId},GET,PodcastFlowPro-master-billing,Lambda
/master/invoices/{invoiceId},PUT,PodcastFlowPro-master-billing,Lambda
/master/organizations,GET,PodcastFlowPro-master-organizations,Lambda
/master/organizations,POST,PodcastFlowPro-master-organizations,Lambda
/master/organizations/{id},DELETE,PodcastFlowPro-master-organizations,Lambda
/master/organizations/{id},GET,PodcastFlowPro-master-organizations,Lambda
/master/organizations/{id},PUT,PodcastFlowPro-master-organizations,Lambda
/master/settings,GET,PodcastFlowPro-master-settings,Lambda
/master/settings,PUT,PodcastFlowPro-master-settings,Lambda
/master/users,GET,PodcastFlowPro-master-users,Lambda
/master/users/{id},DELETE,PodcastFlowPro-master-users,Lambda
/master/users/{id},GET,PodcastFlowPro-master-users,Lambda
/master/users/{id},PUT,PodcastFlowPro-master-users,Lambda
/organization,GET,podcastflow-api-organization,Lambda
/organization,PUT,podcastflow-api-organization,Lambda
/organizations,GET,podcastflow-api-organization,Lambda
/organizations,POST,podcastflow-api-organization,Lambda
/organizations/{id},GET,organizations,Lambda
/organizations/{id},PUT,organizations,Lambda
/organizations/{id}/features,PUT,organizations,Lambda
/organizations/{id}/status,PUT,organizations,Lambda
/overview,GET,PodcastFlowPro-PodcastFlowPro-billing-overview,Lambda
/pipeline,GET,PodcastFlowPro-PodcastFlowPro-deals,Lambda
/reports,GET,PodcastFlowPro-Reports,Lambda
/reports,POST,PodcastFlowPro-Reports,Lambda
/reports/{id},DELETE,PodcastFlowPro-Reports,Lambda
/reports/{id},GET,PodcastFlowPro-Reports,Lambda
/reports/{id},PUT,PodcastFlowPro-Reports,Lambda
/roles/permissions,GET,podcastflow-permissions,Lambda
/roles/{role}/permissions,GET,podcastflow-permissions,Lambda
/roles/{role}/permissions,PUT,podcastflow-permissions,Lambda
/shows,GET,PodcastFlowPro-Shows,Lambda
/shows,POST,PodcastFlowPro-Shows,Lambda
/shows/stats,GET,PodcastFlowPro-Shows,Lambda
/shows/{id},DELETE,PodcastFlowPro-Shows,Lambda
/shows/{id},GET,PodcastFlowPro-Shows,Lambda
/shows/{id},PUT,PodcastFlowPro-Shows,Lambda
/team,DELETE,PodcastFlowPro-Team,Lambda
/team,GET,PodcastFlowPro-Team,Lambda
/team,POST,PodcastFlowPro-Team,Lambda
/team,PUT,PodcastFlowPro-Team,Lambda
/user/preferences,GET,podcastflow-api-user,Lambda
/user/preferences,PUT,podcastflow-api-user,Lambda
/user/profile,GET,podcastflow-api-user,Lambda
/user/profile,PUT,podcastflow-api-user,Lambda
/users,GET,podcastflow-users,Lambda
/users,POST,podcastflow-users,Lambda
/users/{id},DELETE,podcastflow-users,Lambda
/users/{id},GET,podcastflow-users,Lambda
/users/{id},PUT,podcastflow-users,Lambda
/users/{id}/role,PUT,podcastflow-users,Lambda
/users/{id}/status,PUT,podcastflow-users,Lambda
/{id},DELETE,PodcastFlowPro-PodcastFlowPro-users,Lambda
/{id},GET,PodcastFlowPro-PodcastFlowPro-users,Lambda
/{id},PUT,PodcastFlowPro-PodcastFlowPro-users,Lambda
/{id}/role,PUT,PodcastFlowPro-PodcastFlowPro-users,Lambda
/{id}/status,PUT,PodcastFlowPro-PodcastFlowPro-users,Lambda
